f1_h3_4args	R1002	h3_server_listen 需要 (port) 或 (port, cert, key) 参数
f2_h3_2args	R1002	h3_server_listen 需要 (port) 或 (port, cert, key) 参数
f3_range_end_float	R1002	range 的 end 需要整数，实际是 float
f4_range_step_float	R1002	range 的 step 需要整数，实际是 float
f5_range_float	R1002	range 的 end 需要整数，实际是 float
f6_sleep_float	R1002	sleep 的 ms 需要整数，实际是 float
f7_sleep_us_str	R1002	sleep_us 的 us 需要整数，实际是 string
f8_chr_float	R1002	chr 的 码点 需要整数，实际是 float
f9_bit_count_float	R1002	bit_count 的 n 需要整数，实际是 float
f10_bits32_float	R1002	bits_to_float32 的 bits 需要整数，实际是 float
f11_read_bytes_int	R1002	read_bytes 的 路径 需要字符串，实际是 int
f12_ws_broadcast_int	R1002	ws_broadcast 的 data 需要字符串，实际是 int
f13_open_perm_float	R1002	open 的 perm 需要整数，实际是 float
f14_onnx_info_float	R1002	onnx_info 的 id 需要整数，实际是 float
f15_clear_timer_float	R1002	clear_timer 的 id 需要整数，实际是 float
