ok_scan_pos	ok	1 1 1\n2 0 0\n4 0 0\n8 0 0\n16 0 0\n32 0 0\n64 0 0\n128 0 0\n256 0 0\n512 0 0\n1024 0 0\n2048 0 0\n4096 0 0\n8192 0 0\n16384 0 0\n32768 0 0\n65536 0 0\n131072 0 0\n262144 0 0\n524288 0 0\n1048576 0 0\n2097152 0 0\n4194304 0 0\n8388608 0 0\n16777216 0 0\n33554432 0 0\n67108864 0 0\n134217728 0 0\n268435456 0 0\n536870912 0 0\n1073741824 0 0\n2147483648 0 0\n4294967296 0 0\n8589934592 0 0\n17179869184 0 0\n34359738368 0 0\n68719476736 0 0\n137438953472 0 0\n274877906944 0 0\n549755813888 0 0\n1099511627776 0 0\n2199023255552 0 0\n4398046511104 0 0\n8796093022208 0 0\n17592186044416 0 0\n35184372088832 0 0\n70368744177664 0 0\n140737488355328 0 0\n281474976710656 0 0\n562949953421312 0 0\n1125899906842624 0 0\n2251799813685248 0 0\n4503599627370496 0 0\n9007199254740992 0 0\n18014398509481984 0 0\n36028797018963968 0 0\n72057594037927936 0 0\n144115188075855872 0 0\n288230376151711744 0 0\n576460752303423488 0 0\n1152921504606846976 0 0\n2305843009213693952 0 0\n4611686018427387904 0 0\n-9223372036854775808 0 0
ok_scan_neg	ok	-1 -1 -1\n-2 -1 9223372036854775807\n-4 -1 4611686018427387903\n-8 -1 2305843009213693951\n-16 -1 1152921504606846975\n-32 -1 576460752303423487\n-64 -1 288230376151711743\n-128 -1 144115188075855871\n-256 -1 72057594037927935\n-512 -1 36028797018963967\n-1024 -1 18014398509481983\n-2048 -1 9007199254740991\n-4096 -1 4503599627370495\n-8192 -1 2251799813685247\n-16384 -1 1125899906842623\n-32768 -1 562949953421311\n-65536 -1 281474976710655\n-131072 -1 140737488355327\n-262144 -1 70368744177663\n-524288 -1 35184372088831\n-1048576 -1 17592186044415\n-2097152 -1 8796093022207\n-4194304 -1 4398046511103\n-8388608 -1 2199023255551\n-16777216 -1 1099511627775\n-33554432 -1 549755813887\n-67108864 -1 274877906943\n-134217728 -1 137438953471\n-268435456 -1 68719476735\n-536870912 -1 34359738367\n-1073741824 -1 17179869183\n-2147483648 -1 8589934591\n-4294967296 -1 4294967295\n-8589934592 -1 2147483647\n-17179869184 -1 1073741823\n-34359738368 -1 536870911\n-68719476736 -1 268435455\n-137438953472 -1 134217727\n-274877906944 -1 67108863\n-549755813888 -1 33554431\n-1099511627776 -1 16777215\n-2199023255552 -1 8388607\n-4398046511104 -1 4194303\n-8796093022208 -1 2097151\n-17592186044416 -1 1048575\n-35184372088832 -1 524287\n-70368744177664 -1 262143\n-140737488355328 -1 131071\n-281474976710656 -1 65535\n-562949953421312 -1 32767\n-1125899906842624 -1 16383\n-2251799813685248 -1 8191\n-4503599627370496 -1 4095\n-9007199254740992 -1 2047\n-18014398509481984 -1 1023\n-36028797018963968 -1 511\n-72057594037927936 -1 255\n-144115188075855872 -1 127\n-288230376151711744 -1 63\n-576460752303423488 -1 31\n-1152921504606846976 -1 15\n-2305843009213693952 -1 7\n-4611686018427387904 -1 3\n-9223372036854775808 -1 1
ok_scan_neg8	ok	-8 -8 -8\n-16 -4 9223372036854775804\n-32 -2 4611686018427387902\n-64 -1 2305843009213693951\n-128 -1 1152921504606846975\n-256 -1 576460752303423487\n-512 -1 288230376151711743\n-1024 -1 144115188075855871\n-2048 -1 72057594037927935\n-4096 -1 36028797018963967\n-8192 -1 18014398509481983\n-16384 -1 9007199254740991\n-32768 -1 4503599627370495\n-65536 -1 2251799813685247\n-131072 -1 1125899906842623\n-262144 -1 562949953421311\n-524288 -1 281474976710655\n-1048576 -1 140737488355327\n-2097152 -1 70368744177663\n-4194304 -1 35184372088831\n-8388608 -1 17592186044415\n-16777216 -1 8796093022207\n-33554432 -1 4398046511103\n-67108864 -1 2199023255551\n-134217728 -1 1099511627775\n-268435456 -1 549755813887\n-536870912 -1 274877906943\n-1073741824 -1 137438953471\n-2147483648 -1 68719476735\n-4294967296 -1 34359738367\n-8589934592 -1 17179869183\n-17179869184 -1 8589934591\n-34359738368 -1 4294967295\n-68719476736 -1 2147483647\n-137438953472 -1 1073741823\n-274877906944 -1 536870911\n-549755813888 -1 268435455\n-1099511627776 -1 134217727\n-2199023255552 -1 67108863\n-4398046511104 -1 33554431\n-8796093022208 -1 16777215\n-17592186044416 -1 8388607\n-35184372088832 -1 4194303\n-70368744177664 -1 2097151\n-140737488355328 -1 1048575\n-281474976710656 -1 524287\n-562949953421312 -1 262143\n-1125899906842624 -1 131071\n-2251799813685248 -1 65535\n-4503599627370496 -1 32767\n-9007199254740992 -1 16383\n-18014398509481984 -1 8191\n-36028797018963968 -1 4095\n-72057594037927936 -1 2047\n-144115188075855872 -1 1023\n-288230376151711744 -1 511\n-576460752303423488 -1 255\n-1152921504606846976 -1 127\n-2305843009213693952 -1 63\n-4611686018427387904 -1 31\n-9223372036854775808 -1 15\n0 -1 7\n0 -1 3\n0 -1 1
ok_scan_min	ok	-9223372036854775808 -9223372036854775808 -9223372036854775808\n0 -4611686018427387904 4611686018427387904\n0 -2305843009213693952 2305843009213693952\n0 -1152921504606846976 1152921504606846976\n0 -576460752303423488 576460752303423488\n0 -288230376151711744 288230376151711744\n0 -144115188075855872 144115188075855872\n0 -72057594037927936 72057594037927936\n0 -36028797018963968 36028797018963968\n0 -18014398509481984 18014398509481984\n0 -9007199254740992 9007199254740992\n0 -4503599627370496 4503599627370496\n0 -2251799813685248 2251799813685248\n0 -1125899906842624 1125899906842624\n0 -562949953421312 562949953421312\n0 -281474976710656 281474976710656\n0 -140737488355328 140737488355328\n0 -70368744177664 70368744177664\n0 -35184372088832 35184372088832\n0 -17592186044416 17592186044416\n0 -8796093022208 8796093022208\n0 -4398046511104 4398046511104\n0 -2199023255552 2199023255552\n0 -1099511627776 1099511627776\n0 -549755813888 549755813888\n0 -274877906944 274877906944\n0 -137438953472 137438953472\n0 -68719476736 68719476736\n0 -34359738368 34359738368\n0 -17179869184 17179869184\n0 -8589934592 8589934592\n0 -4294967296 4294967296\n0 -2147483648 2147483648\n0 -1073741824 1073741824\n0 -536870912 536870912\n0 -268435456 268435456\n0 -134217728 134217728\n0 -67108864 67108864\n0 -33554432 33554432\n0 -16777216 16777216\n0 -8388608 8388608\n0 -4194304 4194304\n0 -2097152 2097152\n0 -1048576 1048576\n0 -524288 524288\n0 -262144 262144\n0 -131072 131072\n0 -65536 65536\n0 -32768 32768\n0 -16384 16384\n0 -8192 8192\n0 -4096 4096\n0 -2048 2048\n0 -1024 1024\n0 -512 512\n0 -256 256\n0 -128 128\n0 -64 64\n0 -32 32\n0 -16 16\n0 -8 8\n0 -4 4\n0 -2 2\n0 -1 1
ok_scan_max	ok	9223372036854775807 9223372036854775807 9223372036854775807\n-2 4611686018427387903 4611686018427387903\n-4 2305843009213693951 2305843009213693951\n-8 1152921504606846975 1152921504606846975\n-16 576460752303423487 576460752303423487\n-32 288230376151711743 288230376151711743\n-64 144115188075855871 144115188075855871\n-128 72057594037927935 72057594037927935\n-256 36028797018963967 36028797018963967\n-512 18014398509481983 18014398509481983\n-1024 9007199254740991 9007199254740991\n-2048 4503599627370495 4503599627370495\n-4096 2251799813685247 2251799813685247\n-8192 1125899906842623 1125899906842623\n-16384 562949953421311 562949953421311\n-32768 281474976710655 281474976710655\n-65536 140737488355327 140737488355327\n-131072 70368744177663 70368744177663\n-262144 35184372088831 35184372088831\n-524288 17592186044415 17592186044415\n-1048576 8796093022207 8796093022207\n-2097152 4398046511103 4398046511103\n-4194304 2199023255551 2199023255551\n-8388608 1099511627775 1099511627775\n-16777216 549755813887 549755813887\n-33554432 274877906943 274877906943\n-67108864 137438953471 137438953471\n-134217728 68719476735 68719476735\n-268435456 34359738367 34359738367\n-536870912 17179869183 17179869183\n-1073741824 8589934591 8589934591\n-2147483648 4294967295 4294967295\n-4294967296 2147483647 2147483647\n-8589934592 1073741823 1073741823\n-17179869184 536870911 536870911\n-34359738368 268435455 268435455\n-68719476736 134217727 134217727\n-137438953472 67108863 67108863\n-274877906944 33554431 33554431\n-549755813888 16777215 16777215\n-1099511627776 8388607 8388607\n-2199023255552 4194303 4194303\n-4398046511104 2097151 2097151\n-8796093022208 1048575 1048575\n-17592186044416 524287 524287\n-35184372088832 262143 262143\n-70368744177664 131071 131071\n-140737488355328 65535 65535\n-281474976710656 32767 32767\n-562949953421312 16383 16383\n-1125899906842624 8191 8191\n-2251799813685248 4095 4095\n-4503599627370496 2047 2047\n-9007199254740992 1023 1023\n-18014398509481984 511 511\n-36028797018963968 255 255\n-72057594037927936 127 127\n-144115188075855872 63 63\n-288230376151711744 31 31\n-576460752303423488 15 15\n-1152921504606846976 7 7\n-2305843009213693952 3 3\n-4611686018427387904 1 1\n-9223372036854775808 0 0
ok_over_counts	ok	3 3 3\n6 1 1\n12 0 0\n-9223372036854775808 0 0\n3 3 3\n6 1 1\n-9223372036854775808 0 0\n3 3 3\n3298534883328 0 0\n-9223372036854775808 0 0\n-9223372036854775808 0 0
ok_neg_operand	ok	-9223372036854775808 -1 1\n-1 -1 -1\n-2 -1 9223372036854775807\n0 -1 1\n-8 -8 -8\n0 -1 1\n0 -4611686018427387904 4611686018427387904\n0 -1 1\n-9223372036854775808 -9223372036854775808 -9223372036854775808\n-2 4611686018427387903 4611686018427387903\n9223372036854775807 9223372036854775807 9223372036854775807
ok_const_vs_runtime	ok	1 1 1\n1 1 1\n-9223372036854775808 0 0\n-9223372036854775808 0 0\n2 0 0\n2 0 0\n1 1 1\n1 1 1\n2 0 0\n2 0 0\n-9223372036854775808 -1 1\n-9223372036854775808 -1 1\n-1 -1 -1\n-1 -1 -1\n65280 0 0\n65280 0 0\n14 3 3\n14 3 3\n0 -4611686018427387904 4611686018427387904\n0 -4611686018427387904 4611686018427387904
ok_bitops_regress	ok	3 15 2 -1 0\n255 -1 0 0
ok_chain	ok	1048576 2\n-9223372036854775808 -1
